index,u_grid,u_geom,t_progress,t_eval_used_for_tracks,x,y,width_eval,height_eval,theta_eval,theta_internal,theta_raw,tangent_angle,effective_theta,offset_eval,alpha_eval
137,0.450658,0.450658,0.450725,0.450725,138.746374,272.609262,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.746374,0.000000
138,0.453947,0.453947,0.454015,0.454015,138.729924,274.599110,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.729924,0.000000
139,0.457237,0.457237,0.457305,0.457305,138.713474,276.588959,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.713474,0.000000
140,0.460526,0.460526,0.460595,0.460595,138.697024,278.578808,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.697024,0.000000
141,0.463816,0.463816,0.463885,0.463885,138.680574,280.568656,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.680574,0.000000
142,0.467105,0.467105,0.467175,0.467175,138.664124,282.558505,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.664124,0.000000
143,0.470395,0.470395,0.470465,0.470465,138.647675,284.548353,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.647675,0.000000
144,0.473684,0.473684,0.473755,0.473755,138.631225,286.538202,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.631225,0.000000
145,0.476974,0.476974,0.477045,0.477045,138.614775,288.528051,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.614775,0.000000
146,0.480263,0.480263,0.480335,0.480335,138.598325,290.517899,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.598325,0.000000
147,0.483553,0.483553,0.483625,0.483625,138.581875,292.507748,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.581875,0.000000
148,0.486842,0.486842,0.486915,0.486915,138.565425,294.497597,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.565425,0.000000
149,0.490132,0.490132,0.490205,0.490205,138.548976,296.487445,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.548976,0.000000
